,UniProt ID,Nb_interactions,Gene Name,Name
1569,Q9NUB1,2,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
1570,Q9NVH6,2,TMLHE,"Trimethyllysine dioxygenase, mitochondrial"
1571,P51160,2,PDE6C,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'"
1572,Q9NWT6,2,HIF1AN,Hypoxia-inducible factor 1-alpha inhibitor
1573,Q9NWZ3,2,IRAK4,Interleukin-1 receptor-associated kinase 4
1574,P51151,2,RAB9A,Ras-related protein Rab-9A
1575,Q16832,2,DDR2,Discoidin domain-containing receptor 2
1576,P57059,2,SIK1,Serine/threonine-protein kinase SIK1
1577,Q12756,2,KIF1A,Kinesin-like protein KIF1A
1578,Q9NY65,2,TUBA8,Tubulin alpha-8 chain
1579,P50897,2,PPT1,Palmitoyl-protein thioesterase 1
1580,P50750,2,CDK9,Cyclin-dependent kinase 9
1581,Q12797,2,ASPH,Aspartyl/asparaginyl beta-hydroxylase
1582,Q9NYL2,2,ZAK,Mitogen-activated protein kinase kinase kinase MLT
1583,Q16795,2,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"
1584,Q16775,2,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial"
1585,P51659,2,HSD17B4,Peroxisomal multifunctional enzyme type 2
1586,Q08345,2,DDR1,Epithelial discoidin domain-containing receptor 1
1587,Q9NR82,2,KCNQ5,Potassium voltage-gated channel subfamily KQT member 5
1588,Q9HBH1,2,PDF,"Peptide deformylase, mitochondrial"
1589,Q06609,2,RAD51,DNA repair protein RAD51 homolog 1
1590,Q9H228,2,S1PR5,Sphingosine 1-phosphate receptor 5
1591,Q00796,2,SORD,Sorbitol dehydrogenase
1592,Q5T6L4,2,ASS,"Argininosuccinate synthetase, isoform CRA_a"
1593,P62258,2,YWHAE,14-3-3 protein epsilon
1594,Q07021,2,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial"
1595,Q9H2X9,2,SLC12A5,Solute carrier family 12 member 5
1596,Q8N8N7,2,PTGR2,Prostaglandin reductase 2
1597,Q9H3S4,2,TPK1,Thiamin pyrophosphokinase 1
1598,Q9H6Z9,2,EGLN3,Egl nine homolog 3
1599,Q9HAN9,2,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
1600,P62491,2,RAB11A,Ras-related protein Rab-11A
1601,P52569,2,SLC7A2,Cationic amino acid transporter 2
1602,Q00536,2,CDK16,Cyclin-dependent kinase 16
1603,Q9NR19,2,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic"
1604,Q96CD2,2,PPCDC,Phosphopantothenoylcysteine decarboxylase
1605,Q9NPB1,2,NT5M,"5'(3')-deoxyribonucleotidase, mitochondrial"
1606,Q9NPC1,2,LTB4R2,Leukotriene B4 receptor 2
1607,Q9NPC2,2,KCNK9,Potassium channel subfamily K member 9
1608,P51955,2,NEK2,Serine/threonine-protein kinase Nek2
1609,Q8NG66,2,NEK11,Serine/threonine-protein kinase Nek11
1610,P51843,2,NR0B1,Nuclear receptor subfamily 0 group B member 1
1611,P51813,2,BMX,Cytoplasmic tyrosine-protein kinase BMX
1612,P51812,2,RPS6KA3,Ribosomal protein S6 kinase alpha-3
1613,P51800,2,CLCNKA,Chloride channel protein ClC-Ka
1614,P51788,2,CLCN2,Chloride channel protein 2
1615,Q96C36,2,PYCR2,Pyrroline-5-carboxylate reductase 2
1616,Q2M3G0,2,ABCB5,ATP-binding cassette sub-family B member 5
1617,Q92736,2,RYR2,Ryanodine receptor 2
1618,A0A024R8I1,2,CACNA1B,Voltage-dependent N-type calcium channel subunit alpha
1619,P06310,2,,Ig kappa chain V-II region RPMI 6410
1620,O60264,2,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
1621,P27708,2,CAD,CAD protein
1622,O60547,2,GMDS,"GDP-mannose 4,6 dehydratase"
1623,P01768,2,IGHV3-30,Immunoglobulin heavy variable 3-30
1624,P10745,2,RBP3,Retinol-binding protein 3
1625,O60427,2,FADS1,Fatty acid desaturase 1
1626,P10696,2,ALPPL2,"Alkaline phosphatase, placental-like"
1627,P10606,2,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial"
1628,O60603,2,TLR2,Toll-like receptor 2
1629,P29323,2,EPHB2,Ephrin type-B receptor 2
1630,O43739,2,CYTH3,Cytohesin-3
1631,P29460,2,IL12B,Interleukin-12 subunit beta
1632,P29508,2,SERPINB3,Serpin B3
1633,P10253,2,GAA,Lysosomal alpha-glucosidase
1634,P10176,2,COX8A,"Cytochrome c oxidase subunit 8A, mitochondrial"
1635,O60568,2,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
1636,O60656,2,UGT1A9,UDP-glucuronosyltransferase 1-9
1637,P24311,2,COX7B,"Cytochrome c oxidase subunit 7B, mitochondrial"
1638,P11216,2,PYGB,"Glycogen phosphorylase, brain form"
1639,P24666,2,ACP1,Low molecular weight phosphotyrosine protein phosphatase
1640,P00746,2,CFD,Complement factor D
1641,P12004,2,PCNA,Proliferating cell nuclear antigen
1642,P25311,2,AZGP1,Zinc-alpha-2-glycoprotein
1643,O60882,2,MMP20,Matrix metalloproteinase-20
1644,P25788,2,PSMA3,Proteasome subunit alpha type-3
1645,P11177,2,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
1646,P11021,2,HSPA5,78 kDa glucose-regulated protein
1647,P01138,2,NGF,Beta-nerve growth factor
1648,O60701,2,UGDH,UDP-glucose 6-dehydrogenase
1649,P26439,2,HSD3B2,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
1650,P26440,2,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial"
1651,P26447,2,S100A4,Protein S100-A4
1652,P01579,2,IFNG,Interferon gamma
1653,P02708,2,CHRNA1,Acetylcholine receptor subunit alpha
1654,P10153,2,RNASE2,Non-secretory ribonuclease
1655,P30153,2,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
1656,P03915,2,MT-ND5,NADH-ubiquinone oxidoreductase chain 5
1657,P09622,2,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial"
1658,P09525,2,ANXA4,Annexin A4
1659,P09493,2,TPM1,Tropomyosin alpha-1 chain
1660,P09455,2,RBP1,Retinol-binding protein 1
1661,O15460,2,P4HA2,Prolyl 4-hydroxylase subunit alpha-2
1662,P31946,2,YWHAB,14-3-3 protein beta/alpha
1663,P09417,2,QDPR,Dihydropteridine reductase
1664,P10114,2,RAP2A,Ras-related protein Rap-2a
1665,O15440,2,ABCC5,Multidrug resistance-associated protein 5
1666,P09238,2,MMP10,Stromelysin-2
1667,P09210,2,GSTA2,Glutathione S-transferase A2
1668,P03950,2,ANG,Angiogenin
1669,P32322,2,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
1670,P32754,2,HPD,4-hydroxyphenylpyruvate dioxygenase
1671,P31391,2,SSTR4,Somatostatin receptor type 4
1672,O15511,2,ARPC5,Actin-related protein 2/3 complex subunit 5
1673,P09669,2,COX6C,Cytochrome c oxidase subunit 6C
1674,O43174,2,CYP26A1,Cytochrome P450 26A1
1675,P09958,2,FURIN,Furin
1676,O43193,2,MLNR,Motilin receptor
1677,P31152,2,MAPK4,Mitogen-activated protein kinase 4
1679,P02775,2,PPBP,Platelet basic protein
1680,P30793,2,GCH1,GTP cyclohydrolase 1
1681,P30531,2,SLC6A1,Sodium- and chloride-dependent GABA transporter 1
1682,O43519,2,RET,RET proto-oncogene
1683,P30530,2,AXL,Tyrosine-protein kinase receptor UFO
1684,P30520,2,ADSS,Adenylosuccinate synthetase isozyme 2
1685,O43613,2,HCRTR1,Orexin receptor type 1
1686,P30519,2,HMOX2,Heme oxygenase 2
1687,O43614,2,HCRTR2,Orexin receptor type 2
1688,P02749,2,APOH,Beta-2-glycoprotein 1
1689,P24347,2,MMP11,Stromelysin-3
1690,O60911,2,CTSV,Cathepsin L2
1691,P08842,2,STS,Steryl-sulfatase
1692,P19113,2,HDC,Histidine decarboxylase
1693,O95298,2,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2
1694,P15328,2,FOLR1,Folate receptor alpha
1695,P15309,2,ACPP,Prostatic acid phosphatase
1696,O75936,2,BBOX1,Gamma-butyrobetaine dioxygenase
1697,P15289,2,ARSA,Arylsulfatase A
1698,P15259,2,PGAM2,Phosphoglycerate mutase 2
1699,P15151,2,PVR,Poliovirus receptor
1700,P18669,2,PGAM1,Phosphoglycerate mutase 1
1701,P15144,2,ANPEP,Aminopeptidase N
1702,P15104,2,GLUL,Glutamine synthetase
1703,P14854,2,COX6B1,Cytochrome c oxidase subunit 6B1
1704,P19784,2,CSNK2A2,Casein kinase II subunit alpha'
1705,P20132,2,SDS,L-serine dehydratase/L-threonine deaminase
1706,P20393,2,NR1D1,Nuclear receptor subfamily 1 group D member 1
1707,O95263,2,PDE8B,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B"
1708,O75964,2,ATP5L,"ATP synthase subunit g, mitochondrial"
1709,P24310,2,COX7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial"
1710,P17540,2,CKMT2,"Creatine kinase S-type, mitochondrial"
1711,P16860,2,NPPB,Natriuretic peptides B
1712,O94903,2,PROSC,Proline synthase co-transcribed bacterial homolog protein
1713,O94956,2,SLCO2B1,Solute carrier organic anion transporter family member 2B1
1714,O94768,2,STK17B,Serine/threonine-protein kinase 17B
1715,O95069,2,KCNK2,Potassium channel subfamily K member 2
1716,P16499,2,PDE6A,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha"
1717,P16220,2,CREB1,Cyclic AMP-responsive element-binding protein 1
1718,O95259,2,KCNH1,Potassium voltage-gated channel subfamily H member 1
1719,P17752,2,TPH1,Tryptophan 5-hydroxylase 1
1720,O94766,2,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
1721,P17931,2,LGALS3,Galectin-3
1722,P17936,2,IGFBP3,Insulin-like growth factor-binding protein 3
1723,P16050,2,ALOX15,Arachidonate 15-lipoxygenase
1724,P15954,2,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial"
1725,P20645,2,M6PR,Cation-dependent mannose-6-phosphate receptor
1726,P20674,2,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial"
1727,P20810,2,CAST,Calpastatin
1728,P22888,2,LHCGR,Lutropin-choriogonadotropic hormone receptor
1729,P12532,2,CKMT1A,"Creatine kinase U-type, mitochondrial"
1730,P22459,2,KCNA4,Potassium voltage-gated channel subfamily A member 4
1731,P22557,2,ALAS2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial"
1732,P22570,2,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
1733,P22626,2,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1
1734,P22694,2,PRKACB,cAMP-dependent protein kinase catalytic subunit beta
1735,P12277,2,CKB,Creatine kinase B-type
1736,P14410,2,SI,"Sucrase-isomaltase, intestinal"
1737,P23246,2,SFPQ,"Splicing factor, proline- and glutamine-rich"
1738,P12104,2,FABP2,"Fatty acid-binding protein, intestinal"
1739,P23284,2,PPIB,Peptidyl-prolyl cis-trans isomerase B
1740,P23378,2,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial"
1741,P00740,2,F9,Coagulation factor IX
1742,P23786,2,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial"
1743,P22314,2,UBA1,Ubiquitin-like modifier-activating enzyme 1
1744,P00488,2,F13A1,Coagulation factor XIII A chain
1745,P00414,2,MT-CO3,Cytochrome c oxidase subunit 3
1746,O75460,2,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1
1747,O96017,2,CHEK2,Serine/threonine-protein kinase Chk2
1748,P22033,2,MUT,"Methylmalonyl-CoA mutase, mitochondrial"
1749,P13073,2,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
1750,P13196,2,ALAS1,"5-aminolevulinate synthase, nonspecific, mitochondrial"
1751,P21980,2,TGM2,Protein-glutamine gamma-glutamyltransferase 2
1752,P13500,2,CCL2,C-C motif chemokine 2
1753,P13501,2,CCL5,C-C motif chemokine 5
1754,P21695,2,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
1755,P13995,2,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
1756,P14207,2,FOLR2,Folate receptor beta
1757,P21283,2,ATP6V1C1,V-type proton ATPase subunit C 1
1758,P21281,2,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform"
1759,O75600,2,GCAT,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
1760,P08922,2,ROS1,Proto-oncogene tyrosine-protein kinase ROS
1761,P16581,2,SELE,E-selectin
1762,P05129,2,PRKCG,Protein kinase C gamma type
1764,P07947,2,YES1,Tyrosine-protein kinase Yes
1765,P36896,2,ACVR1B,Activin receptor type-1B
1766,P35610,2,SOAT1,Sterol O-acyltransferase 1
1767,O15143,2,ARPC1B,Actin-related protein 2/3 complex subunit 1B
1768,O15144,2,ARPC2,Actin-related protein 2/3 complex subunit 2
1769,O14788,2,TNFSF11,Tumor necrosis factor ligand superfamily member 11
1770,P05187,2,ALPP,"Alkaline phosphatase, placental type"
1771,P41231,2,P2RY2,P2Y purinoceptor 2
1772,P42898,2,MTHFR,Methylenetetrahydrofolate reductase
1773,O15145,2,ARPC3,Actin-related protein 2/3 complex subunit 3
1774,P04183,2,TK1,"Thymidine kinase, cytosolic"
1775,P08246,2,ELANE,Neutrophil elastase
1776,P08311,2,CTSG,Cathepsin G
1777,P06850,2,CRH,Corticoliberin
1778,P08319,2,ADH4,Alcohol dehydrogenase 4
1779,P04179,2,SOD2,"Superoxide dismutase [Mn], mitochondrial"
1780,P05362,2,ICAM1,Intercellular adhesion molecule 1
1781,P05451,2,REG1A,Lithostathine-1-alpha
1782,P36871,2,PGM1,Phosphoglucomutase-1
1783,P42681,2,TXK,Tyrosine-protein kinase TXK
1784,P05019,2,IGF1,Insulin-like growth factor I
1785,P07737,2,PFN1,Profilin-1
1786,P42126,2,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial"
1787,P36405,2,ARL3,ADP-ribosylation factor-like protein 3
1788,P41439,2,FOLR3,Folate receptor gamma
1789,O00299,2,CLIC1,Chloride intracellular channel protein 1
1790,O14818,2,PSMA7,Proteasome subunit alpha type-7
1791,P35913,2,PDE6B,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta"
1792,P06881,2,CALCA,Calcitonin gene-related peptide 1
1793,O14936,2,CASK,Peripheral plasma membrane protein CASK
1794,P41235,2,HNF4A,Hepatocyte nuclear factor 4-alpha
1795,P07359,2,GP1BA,Platelet glycoprotein Ib alpha chain
1796,O14939,2,PLD2,Phospholipase D2
1797,P05166,2,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial"
1798,O00244,2,ATOX1,Copper transport protein ATOX1
1799,P37840,2,SNCA,Alpha-synuclein
1800,P04211,2,,Ig lambda chain V region 4A
1801,P07355,2,ANXA2,Annexin A2
1802,P42680,2,TEC,Tyrosine-protein kinase Tec
1803,P43005,2,SLC1A1,Excitatory amino acid transporter 3
1804,P35398,2,RORA,Nuclear receptor ROR-alpha
1805,O15270,2,SPTLC2,Serine palmitoyltransferase 2
1806,P05090,2,APOD,Apolipoprotein D
1807,P07204,2,THBD,Thrombomodulin
1808,P43220,2,GLP1R,Glucagon-like peptide 1 receptor
1809,P33316,2,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
1810,P33261,2,CYP2C19,Cytochrome P450 2C19
1811,O15269,2,SPTLC1,Serine palmitoyltransferase 1
1812,O15392,2,BIRC5,Baculoviral IAP repeat-containing protein 5
1813,P08670,2,VIM,Vimentin
1814,O14649,2,KCNK3,Potassium channel subfamily K member 3
1815,P35080,2,PFN2,Profilin-2
1816,P37088,2,SCNN1A,Amiloride-sensitive sodium channel subunit alpha
1817,P43403,2,ZAP70,Tyrosine-protein kinase ZAP-70
1818,P33121,2,ACSL1,Long-chain-fatty-acid--CoA ligase 1
1819,P07288,2,KLK3,Prostate-specific antigen
1820,P04155,2,TFF1,Trefoil factor 1
1821,P07098,2,LIPF,Gastric triacylglycerol lipase
1822,P05121,2,SERPINE1,Plasminogen activator inhibitor 1
1823,F1T0I5,2,AANAT,Arylalkylamine N-acetyltransferase
1824,P07108,2,DBI,Acyl-CoA-binding protein
1825,P43487,2,RANBP1,Ran-specific GTPase-activating protein
1826,P37173,2,TGFBR2,TGF-beta receptor type-2
1827,P05155,2,SERPING1,Plasma protease C1 inhibitor
1828,P05154,2,SERPINA5,Plasma serine protease inhibitor
1829,P35232,2,PHB,Prohibitin
1830,P06132,2,UROD,Uroporphyrinogen decarboxylase
1831,P00568,1,AK1,Adenylate kinase isoenzyme 1
1832,Q96PR1,1,KCNC2,Potassium voltage-gated channel subfamily C member 2
1833,Q86T13,1,CLEC14A,C-type lectin domain family 14 member A
1834,O95864,1,FADS2,Fatty acid desaturase 2
1835,Q96PY6,1,NEK1,Serine/threonine-protein kinase Nek1
1836,Q86U10,1,ASPG,60 kDa lysophospholipase
1837,Q86UE8,1,TLK2,Serine/threonine-protein kinase tousled-like 2
1838,Q96GR2,1,ACSBG1,Long-chain-fatty-acid--CoA ligase ACSBG1
1839,P05141,1,SLC25A5,ADP/ATP translocase 2
1840,Q86V86,1,PIM3,Serine/threonine-protein kinase pim-3
1841,O95865,1,DDAH2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"
1842,Q86YV6,1,MYLK4,Myosin light chain kinase family member 4
1843,O96013,1,PAK4,Serine/threonine-protein kinase PAK 4
1844,P05165,1,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
1845,Q96L34,1,MARK4,MAP/microtubule affinity-regulating kinase 4
1846,P05162,1,LGALS2,Galectin-2
1847,Q86WA6,1,BPHL,Valacyclovir hydrolase
1848,Q86V67,1,PDE4,Phosphodiesterase isozyme 4
1849,Q96KC2,1,ARL5B,ADP-ribosylation factor-like protein 5B
1850,Q86Y39,1,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
1851,Q96LB9,1,PGLYRP3,Peptidoglycan recognition protein 3
1852,Q96I59,1,NARS2,"Probable asparagine--tRNA ligase, mitochondrial"
1853,Q86UW8,1,HAPLN4,Hyaluronan and proteoglycan link protein 4
1854,O96000,1,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
1855,Q96I15,1,SCLY,Selenocysteine lyase
1856,Q96MA6,1,AK8,Adenylate kinase 8
1857,Q96NR8,1,RDH12,Retinol dehydrogenase 12
1858,O95907,1,SLC16A8,Monocarboxylate transporter 3
1859,Q86VB7,1,CD163,Scavenger receptor cysteine-rich type 1 protein M130
1860,O95881,1,TXNDC12,Thioredoxin domain-containing protein 12
1861,Q96HD9,1,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
1862,Q96Q83,1,ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
1863,Q8TBX8,1,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
1864,O95835,1,LATS1,Serine/threonine-protein kinase LATS1
1865,Q7L5Y9,1,MAEA,Macrophage erythroblast attacher
1866,P05543,1,SERPINA7,Thyroxine-binding globulin
1867,Q7RTX0,1,TAS1R3,Taste receptor type 1 member 3
1868,O95255,1,ABCC6,Multidrug resistance-associated protein 6
1869,Q99640,1,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
1870,O95237,1,LRAT,Lecithin retinol acyltransferase
1871,O95190,1,OAZ2,Ornithine decarboxylase antizyme 2
1872,Q7RTV2,1,GSTA5,Glutathione S-transferase A5
1873,Q7RTT9,1,SLC29A4,Equilibrative nucleoside transporter 4
1874,Q99661,1,KIF2C,Kinesin-like protein KIF2C
1875,Q7LG56,1,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B
1876,Q99705,1,MCHR1,Melanin-concentrating hormone receptor 1
1877,Q7L7X3,1,TAOK1,Serine/threonine-protein kinase TAO1
1878,O95182,1,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
1879,Q96QU6,1,ACCS,1-aminocyclopropane-1-carboxylate synthase-like protein 1
1880,Q7L3T8,1,PARS2,"Probable proline--tRNA ligase, mitochondrial"
1881,O95178,1,NDUFB2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial"
1882,O95169,1,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"
1883,O95168,1,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
1884,Q99735,1,MGST2,Microsomal glutathione S-transferase 2
1885,Q99759,1,MAP3K3,Mitogen-activated protein kinase kinase kinase 3
1886,O95167,1,NDUFA3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
1887,O95139,1,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
1888,P05787,1,KRT8,"Keratin, type II cytoskeletal 8"
1889,Q99829,1,CPNE1,Copine-1
1890,Q7KZI7,1,MARK2,Serine/threonine-protein kinase MARK2
1891,Q7KZA3,1,DKFZp686P18130,Ferrochelatase
1892,P05452,1,CLEC3B,Tetranectin
1893,Q99542,1,MMP19,Matrix metalloproteinase-19
1894,Q7Z3Y4,1,,Uncharacterized protein
1895,O95299,1,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"
1896,Q96RD7,1,PANX1,Pannexin-1
1897,Q96RE1,1,EEF1A1L14,Translation elongation factor 1 alpha 1-like 14
1898,Q86SZ2,1,TRAPPC6B,Trafficking protein particle complex subunit 6B
1899,O95831,1,AIFM1,"Apoptosis-inducing factor 1, mitochondrial"
1900,O95819,1,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4
1901,Q96RP8,1,KCNA7,Potassium voltage-gated channel subfamily A member 7
1902,Q96RQ3,1,MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
1903,O95747,1,OXSR1,Serine/threonine-protein kinase OSR1
1904,Q96RR4,1,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2
1905,O95665,1,NTSR2,Neurotensin receptor type 2
1906,Q96S86,1,HAPLN3,Hyaluronan and proteoglycan link protein 3
1907,Q7Z5B4,1,RIC3,Protein RIC-3
1908,Q96SL4,1,GPX7,Glutathione peroxidase 7
1909,O95573,1,ACSL3,Long-chain-fatty-acid--CoA ligase 3
1910,O95479,1,H6PD,GDH/6PGL endoplasmic bifunctional protein
1911,O95470,1,SGPL1,Sphingosine-1-phosphate lyase 1
1912,P05181,1,CYP2E1,Cytochrome P450 2E1
1913,O95382,1,MAP3K6,Mitogen-activated protein kinase kinase kinase 6
1914,Q99436,1,PSMB7,Proteasome subunit beta type-7
1915,P05186,1,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme"
1916,O95363,1,FARS2,"Phenylalanine--tRNA ligase, mitochondrial"
1917,Q99470,1,SDF2,Stromal cell-derived factor 2
1918,Q7Z460,1,CLASP1,CLIP-associating protein 1
1919,Q99497,1,PARK7,Protein deglycase DJ-1
1920,Q99519,1,NEU1,Sialidase-1
1921,O95644,1,NFATC1,"Nuclear factor of activated T-cells, cytoplasmic 1"
1922,Q8IW54,1,PDE2A,"Phosphodiesterase 2A, cGMP-stimulated"
1923,Q96GD3,1,SCMH1,Polycomb protein SCMH1
1924,Q92830,1,KAT2A,Histone acetyltransferase KAT2A
1925,Q8WU08,1,STK32A,Serine/threonine-protein kinase 32A
1926,P04156,1,PRNP,Major prion protein
1927,P02753,1,RBP4,Retinol-binding protein 4
1928,Q8N8R3,1,SLC25A29,Mitochondrial basic amino acids transporter
1929,Q8WWL2,1,SPIRE2,Protein spire homolog 2
1930,Q8WWQ8,1,STAB2,Stabilin-2
1931,Q8WWT9,1,SLC13A3,Solute carrier family 13 member 3
1932,P02750,1,LRG1,Leucine-rich alpha-2-glycoprotein
1933,Q8N5S9,1,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1
1934,P02748,1,C9,Complement component C9
1935,Q8N568,1,DCLK2,Serine/threonine-protein kinase DCLK2
1936,P02741,1,CRP,C-reactive protein
1937,Q8N543,1,OGFOD1,Prolyl 3-hydroxylase OGFOD1
1938,Q8WYK2,1,JDP2,Jun dimerization protein 2
1939,Q92569,1,PIK3R3,Phosphatidylinositol 3-kinase regulatory subunit gamma
1940,Q8N4C8,1,MINK1,Misshapen-like kinase 1
1941,Q92570,1,NR4A3,Nuclear receptor subfamily 4 group A member 3
1942,O94925,1,GLS,"Glutaminase kidney isoform, mitochondrial"
1943,P02679,1,FGG,Fibrinogen gamma chain
1944,Q8N339,1,MT1M,Metallothionein-1M
1945,P02675,1,FGB,Fibrinogen beta chain
1946,P02656,1,APOC3,Apolipoprotein C-III
1947,Q92753,1,RORB,Nuclear receptor ROR-beta
1948,P02655,1,APOC2,Apolipoprotein C-II
1949,Q92772,1,CDKL2,Cyclin-dependent kinase-like 2
1950,P02452,1,COL1A1,Collagen alpha-1(I) chain
1951,Q92793,1,CREBBP,CREB-binding protein
1952,Q8WU03,1,GLYATL2,Glycine N-acyltransferase-like protein 2
1953,Q8WTV0,1,SCARB1,Scavenger receptor class B member 1
1954,Q8WTS6,1,SETD7,Histone-lysine N-methyltransferase SETD7
1955,Q8TD43,1,TRPM4,Transient receptor potential cation channel subfamily M member 4
1956,Q8TAB3,1,PCDH19,Protocadherin-19
1957,Q8NI60,1,COQ8A,"Atypical kinase COQ8A, mitochondrial"
1958,P04053,1,DNTT,DNA nucleotidylexotransferase
1959,P03989,1,HLA-B,"HLA class I histocompatibility antigen, B-27 alpha chain"
1960,Q8TCG2,1,PI4K2B,Phosphatidylinositol 4-kinase type 2-beta
1961,Q8NFW8,1,CMAS,N-acylneuraminate cytidylyltransferase
1962,Q8TCT9,1,HM13,Minor histocompatibility antigen H13
1963,P03923,1,MT-ND6,NADH-ubiquinone oxidoreductase chain 6
1964,Q8NFJ5,1,GPRC5A,Retinoic acid-induced protein 3
1965,Q8NFD2,1,ANKK1,Ankyrin repeat and protein kinase domain-containing protein 1
1966,Q8TD19,1,NEK9,Serine/threonine-protein kinase Nek9
1967,P03905,1,MT-ND4,NADH-ubiquinone oxidoreductase chain 4
1968,Q8TDR2,1,STK35,Serine/threonine-protein kinase 35
1969,Q8NBN7,1,RDH13,Retinol dehydrogenase 13
1970,Q8NFA2,1,NOXO1,NADPH oxidase organizer 1
1971,P03901,1,MT-ND4L,NADH-ubiquinone oxidoreductase chain 4L
1972,Q8NEV4,1,MYO3A,Myosin-IIIa
1973,P04080,1,CSTB,Cystatin-B
1974,P03897,1,MT-ND3,NADH-ubiquinone oxidoreductase chain 3
1975,P03891,1,MT-ND2,NADH-ubiquinone oxidoreductase chain 2
1976,Q8NEB9,1,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3
1977,Q8NBQ5,1,HSD17B11,Estradiol 17-beta-dehydrogenase 11
1978,Q8TED1,1,GPX8,Probable glutathione peroxidase 8
1979,Q8TET4,1,GANC,Neutral alpha-glucosidase C
1980,Q8TF61,1,FBXO41,F-box only protein 41
1981,P02778,1,CXCL10,C-X-C motif chemokine 10
1982,P01892,1,HLA-A,"HLA class I histocompatibility antigen, A-2 alpha chain"
